Geschwindigkeit,Fahrtrichtung,Lenkwinkel,Abstand,Zeitstempel,Fahrparcours,Sensordaten
40,1,90,-2,2023-06-29 12:36:46,6,"[14.3, 12.0, 2.0, 8.9, 13.8]"
40,1,115,-2,2023-06-29 12:36:47,6,"[13.8, 13.3, 10.3, 2.0, 10.7]"
40,1,115,-4,2023-06-29 12:36:47,6,"[13.6, 13.3, 11.3, 2.0, 8.0]"
40,1,115,184,2023-06-29 12:36:47,6,"[14.0, 13.9, 12.0, 2.1, 8.1]"
40,1,115,181,2023-06-29 12:36:47,6,"[13.8, 14.0, 11.9, 2.0, 8.4]"
40,1,115,177,2023-06-29 12:36:47,6,"[14.2, 14.0, 11.8, 2.0, 8.7]"
40,1,115,136,2023-06-29 12:36:47,6,"[14.8, 13.4, 10.8, 2.0, 9.8]"
40,1,115,167,2023-06-29 12:36:48,6,"[14.3, 13.1, 9.7, 1.8, 10.0]"
40,1,115,164,2023-06-29 12:36:48,6,"[14.6, 13.6, 10.0, 1.1, 9.7]"
40,1,115,162,2023-06-29 12:36:48,6,"[13.9, 13.6, 9.4, 1.4, 10.4]"
40,1,115,157,2023-06-29 12:36:48,6,"[14.0, 13.1, 7.0, 1.4, 11.4]"
40,1,115,155,2023-06-29 12:36:48,6,"[14.2, 13.0, 5.0, 2.0, 11.9]"
40,1,115,152,2023-06-29 12:36:48,6,"[14.0, 12.7, 2.7, 3.9, 12.3]"
40,1,115,150,2023-06-29 12:36:49,6,"[13.9, 12.0, 2.1, 5.0, 13.0]"
40,1,90,146,2023-06-29 12:36:49,6,"[13.0, 11.7, 2.3, 5.0, 13.3]"
40,1,115,134,2023-06-29 12:36:49,6,"[13.0, 12.4, 7.5, 1.6, 11.8]"
40,1,115,131,2023-06-29 12:36:49,6,"[13.3, 12.2, 8.1, 1.0, 11.9]"
40,1,115,135,2023-06-29 12:36:49,6,"[13.0, 12.0, 6.6, 1.4, 12.0]"
40,1,115,130,2023-06-29 12:36:49,6,"[13.1, 12.0, 4.8, 2.0, 13.3]"
40,1,115,129,2023-06-29 12:36:49,6,"[13.6, 11.8, 3.0, 3.6, 13.9]"
40,1,115,127,2023-06-29 12:36:50,6,"[13.4, 11.2, 3.0, 4.1, 15.3]"
40,1,115,123,2023-06-29 12:36:50,6,"[13.0, 10.5, 2.2, 6.8, 16.2]"
40,1,90,120,2023-06-29 12:36:50,6,"[12.0, 4.0, 3.9, 11.5, 16.5]"
40,1,90,117,2023-06-29 12:36:50,6,"[12.3, 3.0, 4.3, 10.9, 15.6]"
40,1,90,114,2023-06-29 12:36:50,6,"[13.5, 8.2, 2.3, 9.3, 14.4]"
40,1,90,112,2023-06-29 12:36:50,6,"[14.0, 12.0, 2.3, 5.0, 13.5]"
40,1,115,108,2023-06-29 12:36:50,6,"[14.0, 13.1, 8.3, 1.2, 11.2]"
40,1,115,106,2023-06-29 12:36:51,6,"[13.4, 12.1, 4.6, 0.9, 10.9]"
40,1,90,102,2023-06-29 12:36:51,6,"[2.4, 2.0, 9.1, 12.0, 15.5]"
40,1,45,99,2023-06-29 12:36:51,6,"[2.2, 9.9, 12.9, 12.5, 15.4]"
40,1,45,99,2023-06-29 12:36:51,6,"[1.9, 10.5, 12.8, 12.7, 15.7]"
40,1,45,98,2023-06-29 12:36:51,6,"[1.8, 5.2, 12.9, 12.9, 15.8]"
40,1,45,134,2023-06-29 12:36:51,6,"[6.6, 2.0, 10.1, 12.8, 15.6]"
40,1,70,76,2023-06-29 12:36:51,6,"[12.3, 3.0, 3.1, 12.0, 15.5]"
40,1,90,143,2023-06-29 12:36:51,6,"[13.0, 10.3, 1.7, 2.0, 13.5]"
40,1,90,-2,2023-06-29 12:36:52,6,"[10.3, 2.0, 2.6, 11.0, 14.2]"
40,1,90,-2,2023-06-29 12:36:52,6,"[8.1, 1.9, 5.8, 11.6, 14.3]"
40,1,70,-2,2023-06-29 12:36:52,6,"[8.7, 1.8, 7.9, 11.4, 13.5]"
40,1,90,166,2023-06-29 12:36:52,6,"[12.7, 3.0, 2.9, 11.9, 14.7]"
40,1,90,157,2023-06-29 12:36:52,6,"[13.2, 6.0, 2.0, 10.2, 14.2]"
40,1,90,155,2023-06-29 12:36:52,6,"[13.6, 10.3, 1.9, 7.0, 13.4]"
40,1,115,151,2023-06-29 12:36:53,6,"[14.2, 11.8, 3.0, 1.0, 11.8]"
40,1,90,147,2023-06-29 12:36:53,6,"[1.1, 1.9, 8.9, 12.3, 14.3]"
40,1,45,144,2023-06-29 12:36:53,6,"[5.1, 12.3, 12.8, 12.3, 13.9]"
40,1,45,142,2023-06-29 12:36:53,6,"[5.6, 12.8, 12.9, 12.3, 14.3]"
