Geschwindigkeit,Fahrtrichtung,Lenkwinkel,Abstand,Zeitstempel,Fahrparcours,Sensordaten
40,1,90,209,2023-06-29 13:48:30,6,"[14.0, 8.1, 3.0, 12.2, 14.7]"
40,1,90,-4,2023-06-29 13:48:30,6,"[13.5, 12.1, 2.9, 7.3, 13.7]"
40,1,115,189,2023-06-29 13:48:30,6,"[13.3, 13.2, 8.6, 1.9, 11.9]"
40,1,115,156,2023-06-29 13:48:31,6,"[14.5, 13.7, 11.2, 2.0, 9.6]"
40,1,115,151,2023-06-29 13:48:31,6,"[14.1, 14.0, 11.6, 2.0, 9.2]"
40,1,115,143,2023-06-29 13:48:31,6,"[14.2, 14.0, 11.9, 2.0, 9.9]"
40,1,115,144,2023-06-29 13:48:31,6,"[14.0, 13.9, 11.7, 2.0, 9.5]"
40,1,115,174,2023-06-29 13:48:31,6,"[14.9, 14.1, 11.8, 2.8, 7.0]"
40,1,115,167,2023-06-29 13:48:31,6,"[14.7, 14.0, 12.0, 3.0, 5.0]"
40,1,135,166,2023-06-29 13:48:32,6,"[14.6, 13.9, 11.9, 4.0, 4.4]"
40,1,115,163,2023-06-29 13:48:32,6,"[14.5, 13.9, 10.1, 1.6, 10.1]"
40,1,115,139,2023-06-29 13:48:32,6,"[14.3, 12.6, 3.0, 4.2, 12.5]"
40,1,90,154,2023-06-29 13:48:32,6,"[14.1, 8.0, 2.0, 10.0, 13.4]"
40,1,90,150,2023-06-29 13:48:32,6,"[14.1, 12.1, 2.0, 7.0, 13.9]"
40,1,115,149,2023-06-29 13:48:32,6,"[14.0, 13.0, 5.2, 2.0, 12.5]"
40,1,115,145,2023-06-29 13:48:33,6,"[13.7, 12.8, 7.6, 1.1, 12.0]"
40,1,115,142,2023-06-29 13:48:33,6,"[13.2, 12.8, 6.1, 1.9, 12.9]"
40,1,115,113,2023-06-29 13:48:33,6,"[12.8, 12.0, 4.4, 2.1, 13.3]"
40,1,115,136,2023-06-29 13:48:33,6,"[13.0, 11.6, 3.0, 3.0, 13.6]"
40,1,115,131,2023-06-29 13:48:33,6,"[13.5, 12.0, 3.9, 2.7, 13.6]"
40,1,115,128,2023-06-29 13:48:33,6,"[14.3, 12.3, 4.2, 2.3, 13.6]"
40,1,115,126,2023-06-29 13:48:33,6,"[13.4, 12.0, 4.0, 2.4, 14.5]"
40,1,115,121,2023-06-29 13:48:34,6,"[13.3, 11.0, 2.0, 5.6, 16.1]"
40,1,90,-4,2023-06-29 13:48:34,6,"[12.5, 4.0, 3.7, 11.2, 16.9]"
40,1,70,116,2023-06-29 13:48:34,6,"[12.0, 3.0, 5.2, 11.0, 16.2]"
40,1,90,112,2023-06-29 13:48:34,6,"[14.3, 11.6, 2.0, 7.2, 14.0]"
40,1,115,110,2023-06-29 13:48:34,6,"[14.5, 13.3, 7.6, 1.9, 12.3]"
40,1,115,107,2023-06-29 13:48:34,6,"[14.0, 13.1, 7.7, 1.7, 11.2]"
40,1,115,103,2023-06-29 13:48:34,6,"[12.9, 7.3, 1.0, 2.0, 14.4]"
40,1,70,100,2023-06-29 13:48:35,6,"[1.6, 3.0, 11.6, 12.0, 16.1]"
40,1,45,101,2023-06-29 13:48:35,6,"[2.2, 11.3, 13.0, 13.0, 15.4]"
40,1,45,101,2023-06-29 13:48:35,6,"[2.1, 10.7, 13.2, 13.1, 15.5]"
40,1,45,148,2023-06-29 13:48:35,6,"[1.9, 5.9, 13.0, 13.0, 15.7]"
40,1,45,134,2023-06-29 13:48:35,6,"[5.7, 2.0, 11.2, 13.0, 16.1]"
40,1,90,78,2023-06-29 13:48:35,6,"[13.2, 5.0, 2.0, 11.9, 15.2]"
40,1,90,76,2023-06-29 13:48:35,6,"[12.1, 4.0, 1.5, 6.6, 13.9]"
40,1,90,83,2023-06-29 13:48:35,6,"[8.9, 1.7, 3.3, 11.6, 14.9]"
40,1,70,76,2023-06-29 13:48:36,6,"[6.2, 1.1, 6.7, 12.5, 15.1]"
40,1,70,194,2023-06-29 13:48:36,6,"[10.0, 1.6, 5.0, 12.0, 14.0]"
40,1,90,-2,2023-06-29 13:48:36,6,"[14.0, 6.0, 2.0, 11.1, 14.7]"
40,1,90,-2,2023-06-29 13:48:36,6,"[13.7, 11.2, 2.0, 5.7, 13.6]"
40,1,115,-4,2023-06-29 13:48:36,6,"[14.5, 13.1, 5.4, 1.4, 11.3]"
40,1,115,150,2023-06-29 13:48:36,6,"[14.1, 11.4, 2.1, 1.0, 11.8]"
40,1,90,147,2023-06-29 13:48:37,6,"[1.7, 1.7, 8.4, 12.9, 15.0]"
40,1,45,76,2023-06-29 13:48:37,6,"[4.1, 12.1, 13.3, 12.2, 14.7]"
40,1,45,143,2023-06-29 13:48:37,6,"[6.9, 13.6, 13.3, 12.9, 14.6]"
40,1,45,119,2023-06-29 13:48:37,6,"[4.1, 12.7, 12.9, 12.2, 14.5]"
40,1,45,138,2023-06-29 13:48:37,6,"[3.0, 11.3, 11.9, 11.5, 13.3]"
40,1,45,139,2023-06-29 13:48:37,6,"[1.7, 7.4, 11.9, 11.0, 13.0]"
40,1,45,111,2023-06-29 13:48:37,6,"[6.1, 1.6, 10.9, 12.1, 13.8]"
40,1,90,138,2023-06-29 13:48:37,6,"[5.0, 1.0, 1.9, 11.0, 14.4]"
40,1,90,238,2023-06-29 13:48:37,6,"[1.7, 1.9, 9.3, 13.0, 14.9]"
40,1,45,138,2023-06-29 13:48:38,6,"[1.0, 3.0, 12.5, 14.0, 16.5]"
40,1,45,-2,2023-06-29 13:48:38,6,"[1.7, 3.8, 13.1, 13.9, 16.5]"
40,1,45,-2,2023-06-29 13:48:38,6,"[8.8, 1.8, 9.8, 13.4, 15.7]"
40,1,90,390,2023-06-29 13:48:38,6,"[15.7, 10.0, 2.0, 11.3, 15.7]"
40,1,90,221,2023-06-29 13:48:38,6,"[15.9, 13.9, 2.0, 6.0, 15.3]"
40,1,115,220,2023-06-29 13:48:38,6,"[16.4, 16.8, 14.9, 3.5, 7.3]"
40,1,135,214,2023-06-29 13:48:38,6,"[16.5, 16.3, 15.7, 13.2, 5.0]"
40,1,135,215,2023-06-29 13:48:39,6,"[16.3, 16.6, 15.5, 11.1, 5.1]"
40,1,135,-2,2023-06-29 13:48:39,6,"[15.9, 15.5, 13.1, 2.3, 9.7]"
40,1,115,-2,2023-06-29 13:48:39,6,"[14.9, 14.4, 4.0, 4.7, 14.9]"
40,1,90,-2,2023-06-29 13:48:39,6,"[14.7, 12.1, 2.0, 10.9, 16.3]"
40,1,115,-2,2023-06-29 13:48:39,6,"[14.7, 15.0, 12.9, 2.1, 4.6]"
40,1,115,210,2023-06-29 13:48:40,6,"[15.3, 15.3, 15.1, 15.0, 14.8]"
40,-1,45,196,2023-06-29 13:48:40,6,"[14.6, 15.6, 15.8, 15.2, 16.8]"
40,1,45,193,2023-06-29 13:48:40,6,"[14.8, 16.0, 15.5, 12.2, 4.7]"
40,-1,135,-2,2023-06-29 13:48:41,6,"[14.9, 16.1, 16.2, 15.1, 17.4]"
0,0,135,197,2023-06-29 13:48:41,6,"[15.5, 15.8, 15.3, 15.2, 17.9]"
