Zeitstempel,Speed,Direction,Steering_Angle,Distance,Reason
2023-06-26 11:21:12,52,1,90,49,start_driving
2023-06-26 11:21:12,52,1,90,-4,supersonic_sensor_error
2023-06-26 11:21:13,52,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:15,52,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:15,52,1,90,7,Hinderniss
2023-06-26 11:21:15,30,-1,45,7,set_back
2023-06-26 11:21:18,80,1,90,7,continue_driving
2023-06-26 11:21:20,80,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:20,80,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:20,80,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:21,80,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:22,0,0,90,125,car_stop
2023-06-26 11:21:26,93,1,90,403,start_driving
2023-06-26 11:21:27,93,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:28,93,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:29,93,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:29,93,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:29,93,1,90,8,Hinderniss
2023-06-26 11:21:29,30,-1,45,8,set_back
2023-06-26 11:21:32,55,1,90,8,continue_driving
2023-06-26 11:21:33,55,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:33,55,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:34,55,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:34,55,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:34,55,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:35,55,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:35,55,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:35,55,1,90,-4,supersonic_sensor_error
2023-06-26 11:21:36,55,1,90,7,Hinderniss
2023-06-26 11:21:36,30,-1,45,7,set_back
2023-06-26 11:21:39,58,1,90,7,continue_driving
2023-06-26 11:21:39,0,0,90,7,car_stop
2023-06-26 11:21:42,65,1,90,41,start_driving
2023-06-26 11:21:42,65,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:43,65,1,90,3,Hinderniss
2023-06-26 11:21:43,30,-1,45,3,set_back
2023-06-26 11:21:46,57,1,90,3,continue_driving
2023-06-26 11:21:47,57,1,90,-2,supersonic_sensor_error
2023-06-26 11:21:48,57,1,90,0,Hinderniss
2023-06-26 11:21:48,30,-1,45,0,set_back
2023-06-26 11:21:51,53,1,90,0,continue_driving
2023-06-26 11:21:52,0,0,90,441,car_stop
2023-06-26 11:23:22,68,1,90,40,start_driving
2023-06-26 11:23:22,68,1,90,-2,supersonic_sensor_error
2023-06-26 11:23:23,68,1,90,-2,supersonic_sensor_error
2023-06-26 11:23:23,68,1,90,3,Hinderniss
2023-06-26 11:23:23,30,-1,45,3,set_back
2023-06-26 11:23:26,75,1,90,3,continue_driving
2023-06-26 11:23:29,75,1,90,-2,supersonic_sensor_error
2023-06-26 11:23:29,75,1,90,-2,supersonic_sensor_error
2023-06-26 11:23:30,75,1,90,5,Hinderniss
2023-06-26 11:23:30,30,-1,45,5,set_back
2023-06-26 11:23:33,67,1,90,5,continue_driving
2023-06-26 11:23:36,67,1,90,-2,supersonic_sensor_error
2023-06-26 11:23:37,67,1,90,-2,supersonic_sensor_error
2023-06-26 11:23:37,67,1,90,-2,supersonic_sensor_error
2023-06-26 11:23:38,67,1,90,4,Hinderniss
2023-06-26 11:23:38,30,-1,45,4,set_back
2023-06-26 11:23:41,57,1,90,4,continue_driving
2023-06-26 11:23:42,0,0,90,52,car_stop
